Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_0805_2012Metric",130.888500,-114.046000,180.000000,top
"D2","LED","LED_0805_2012Metric",130.888500,-110.236000,180.000000,top
"R1","R","R_0805_2012Metric",115.999500,-110.998000,180.000000,top
"R2","R","R_0805_2012Metric",122.936000,-114.886500,90.000000,top
"R3","R","R_0805_2012Metric",126.570500,-114.046000,0.000000,top
"R4","R","R_0805_2012Metric",126.667500,-110.236000,0.000000,top
